,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power
23,Tata Tigor 2017-2020 XZ,2018,500000,35000,0,1,0,0,20.3,1199.0,83.81
24,Maruti Baleno Delta 1.2,2016,575000,45000,0,1,0,0,21.4,1197.0,83.1
25,Maruti Alto 800 LXI,2017,275000,28000,0,1,0,0,24.7,796.0,47.3
26,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,300000,70000,1,1,0,0,18.2,1248.0,73.8
27,Maruti Wagon R LXI Minor,2009,220000,120000,0,1,0,0,18.9,1061.0,67.0
28,Maruti Omni E MPI STD BS IV,2018,254999,25000,0,1,0,0,16.8,796.0,34.2
29,Maruti Vitara Brezza LDi Option,2017,670000,70000,1,1,0,0,24.3,1248.0,88.5
30,Maruti Omni 8 Seater BSIV,2012,150000,35000,0,1,0,1,14.0,796.0,35.0
31,Hyundai i20 1.2 Asta Dual Tone,2018,730000,2388,0,1,0,0,18.6,1197.0,81.83
32,Maruti Vitara Brezza LDi,2017,650000,16200,1,1,0,0,24.3,1248.0,88.5
33,Maruti Alto 800 CNG LXI Optional,2019,330000,10000,2,1,0,1,33.44,796.0,40.3
34,Maruti Alto K10 VXI Airbag,2019,366000,15000,0,1,0,0,23.95,998.0,67.1
35,Hyundai Verna VTVT 1.6 SX Option,2019,1149000,5000,0,1,0,0,17.0,1591.0,121.3
36,Datsun GO D,2016,150000,42000,0,1,0,0,20.63,1198.0,67.0
37,Tata Safari DICOR 2.2 LX 4x2,2011,425000,60000,1,1,0,1,13.93,2179.0,138.03
38,Maruti 800 Std,2012,150000,76000,0,1,0,0,16.1,796.0,37.0
39,Jeep Compass 1.4 Limited Plus BSIV,2019,2100000,5000,0,1,1,0,16.0,1368.0,160.77
40,Honda City i VTEC VX,2018,925000,28900,0,0,0,0,17.8,1497.0,117.3
41,Honda City V MT,2013,425000,86300,0,0,0,0,16.8,1497.0,116.3
42,Maruti Swift Dzire VXi AT,2018,675000,23300,0,0,1,0,18.5,1197.0,83.14
43,Maruti Vitara Brezza VDi,2018,819999,32600,1,0,0,0,24.3,1248.0,88.5
44,Maruti Alto K10 VXI,2018,390000,10300,0,0,0,0,23.95,998.0,67.05
45,Toyota Fortuner 4x4 MT,2014,1500000,77000,1,0,0,0,12.55,2982.0,168.5
46,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,700000,99000,1,0,0,0,12.99,2494.0,100.0
47,Mercedes-Benz B Class B180,2014,1450000,27800,1,0,1,1,14.8,2143.0,120.7
48,Honda Amaze S Diesel,2015,425000,49800,1,0,0,0,24.7,1498.0,98.63
49,Mitsubishi Pajero Sport 4X4,2013,1090000,151000,1,0,0,0,13.5,2477.0,175.56
50,Honda City i DTEC S,2015,600000,54700,1,0,0,0,26.0,1498.0,98.6
51,Maruti Ciaz Zeta,2018,850000,64000,0,0,0,0,20.65,1462.0,103.25
52,Honda Jazz VX Diesel,2015,525000,63000,1,0,0,0,27.3,1498.0,98.6
53,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1650000,127700,1,0,1,1,11.36,2755.0,171.5
54,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,950000,99000,1,0,0,0,12.99,2494.0,100.6
55,Audi A6 2.0 TDI Technology,2013,1750000,33900,1,0,1,1,17.68,1968.0,174.33
56,Toyota Corolla Altis 1.8 VL CVT,2018,1590000,25000,0,0,1,0,14.28,1798.0,138.03
57,Audi A6 2.0 TDI  Design Edition,2013,1689999,50000,1,0,1,0,18.53,1968.0,187.74
58,Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,1,0,1,0,14.84,2143.0,170.0
59,Tata Manza ELAN Quadrajet BS IV,2011,265000,120000,1,1,0,0,21.12,1248.0,88.8
60,Hyundai i10 Magna,2011,190000,110000,0,1,0,2,20.36,1197.0,78.9
61,Hyundai i20 Asta 1.4 CRDi,2013,425000,60000,1,1,0,0,21.27,1396.0,88.76
62,Maruti Swift Dzire ZDI,2015,630000,147000,1,1,0,1,26.59,1248.0,74.0
63,Ford Figo 1.2P Titanium MT,2017,600000,25000,0,1,0,2,18.16,1196.0,86.8
64,Maruti Baleno Delta 1.2,2019,650000,30000,0,1,0,0,21.4,1197.0,83.1
65,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,540000,40000,1,1,0,0,22.0,1498.0,108.495
66,Honda City i DTEC VX,2015,630000,135000,1,1,0,0,25.1,1498.0,98.6
67,Maruti Wagon R AMT VXI,2018,448000,30000,0,1,1,0,20.51,998.0,67.0
68,Volkswagen Ameo 1.5 TDI Comfortline,2017,500000,80000,1,1,0,0,21.66,1498.0,108.62
69,Maruti Vitara Brezza VDi,2016,745000,70000,1,1,0,0,24.3,1248.0,88.5
70,Maruti Vitara Brezza ZDi Plus AMT,2019,1025000,9850,1,1,1,0,24.3,1248.0,88.5
71,Hyundai i10 Magna,2011,235000,60000,0,1,0,1,20.36,1197.0,78.9
72,Maruti Swift VDI Deca,2016,630000,70000,1,1,0,0,25.2,1248.0,74.0
73,Toyota Fortuner 4x4 MT,2015,1700000,78000,1,1,0,1,12.55,2982.0,168.5
74,Maruti Swift Star VDI,2013,450000,120000,1,1,0,1,22.9,1248.0,74.0
75,Maruti Ertiga ZXI,2012,450000,120000,0,1,0,1,16.02,1373.0,93.7
76,Volkswagen Vento Diesel Highline,2013,450000,170000,1,1,0,0,20.54,1598.0,103.6
77,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,1200000,140000,1,1,0,0,12.99,2494.0,100.6
78,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,610000,90000,1,1,0,0,22.77,1498.0,98.59
79,BMW X1 sDrive20i xLine,2016,2500000,30000,0,1,1,1,15.71,1998.0,189.0
80,Maruti Celerio ZXI MT BSIV,2017,484999,10000,0,0,0,0,23.1,998.0,67.04
81,Datsun GO A Petrol,2016,275000,49000,0,0,0,0,19.02,1198.0,67.05
82,Maruti Alto 800 VXI BSIV,2016,315000,32000,0,0,0,0,24.7,796.0,47.3
83,Maruti Alto 800 LXI BSIV,2016,275000,38000,0,0,0,0,24.7,796.0,47.3
84,Hyundai i10 Era 1.1,2012,290000,28000,0,0,0,0,19.81,1086.0,68.05
85,Maruti Omni 8 Seater BSIV,2017,280000,32000,0,0,0,0,14.0,796.0,35.0
86,Maruti Wagon R LXI LPG BSIV,2010,225000,44000,3,0,0,0,26.2,998.0,58.2
87,Volkswagen Polo 1.2 MPI Comfortline,2015,455000,42000,0,0,0,0,16.47,1198.0,74.0
88,Hyundai i10 Magna 1.1L,2015,351000,45000,0,0,0,1,19.81,1086.0,68.05
89,Volkswagen Vento Petrol Highline,2012,535000,12000,0,0,0,1,15.04,1598.0,103.6
90,Maruti Zen Estilo LXI BSIII,2009,175000,55500,0,0,0,0,18.2,998.0,67.1
91,Hyundai i20 Asta Optional with Sunroof 1.2,2013,525000,61500,0,0,0,0,18.5,1197.0,82.85
92,Maruti Swift Dzire LDI,2016,600000,150000,1,1,0,0,26.59,1248.0,74.0
93,Hyundai Xcent 1.2 Kappa SX Option AT,2016,565000,72000,0,0,1,0,19.1,1197.0,82.0
94,Maruti Alto LX BSIII,2008,120000,68000,0,0,0,2,19.7,796.0,46.3
95,Hyundai i20 1.4 Asta Option,2017,725000,110000,1,1,0,0,22.54,1396.0,88.73
96,Maruti Wagon R VXI,2009,185000,77000,0,0,0,1,21.79,998.0,67.05
97,Tata Manza Aura (ABS) Quadrajet,2010,200000,100000,1,1,0,1,18.8,1248.0,90.0
98,Maruti Swift VXI,2019,615000,10000,0,1,0,0,21.21,1197.0,81.8
99,Maruti Eeco 7 Seater Standard BSIV,2016,270000,100000,0,1,0,2,15.37,1196.0,73.0
100,Maruti Baleno Zeta 1.2,2018,610000,35000,0,1,0,0,21.4,1197.0,83.1
101,Mahindra Scorpio VLX AT AIRBAG BSIV,2014,625000,70000,1,1,1,1,11.79,2179.0,120.0
102,Ford Freestyle Titanium Petrol BSIV,2020,400000,5000,0,1,0,1,19.0,1194.0,94.68
103,Hyundai Verna VTVT 1.6 SX,2017,866000,37800,0,1,0,0,17.0,1591.0,121.3
104,Volkswagen Passat 1.8 TSI MT,2010,700000,114000,0,1,0,0,14.3,1798.0,160.0
105,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,300000,48000,0,1,0,0,15.8,1172.0,65.0
106,Mahindra XUV500 W11 Option AWD,2019,1700000,32000,1,1,0,0,15.1,2179.0,155.0
107,Tata Indigo CS LS (TDI) BS-III,2016,375000,100000,1,1,0,0,19.09,1405.0,69.01
108,Hyundai Verna 1.6 SX,2013,522000,150000,1,1,0,1,22.32,1582.0,126.32
109,Hyundai i20 Magna 1.4 CRDi (Diesel),2013,451999,69000,1,1,0,0,21.9,1396.0,88.76
110,Toyota Corolla Altis G,2009,300000,100000,0,1,0,1,14.53,1798.0,138.1
111,Maruti Celerio VXI,2020,475000,13000,0,1,0,0,21.63,998.0,67.04
112,Maruti Vitara Brezza ZDi Plus Dual Tone,2016,780000,60000,1,1,0,0,24.3,1248.0,88.5
113,Maruti Swift Dzire VXI,2017,595000,40000,0,1,0,0,20.85,1197.0,83.14
114,Maruti Wagon R VXI BS IV,2017,440000,35000,0,1,0,0,20.51,998.0,67.04
115,Nissan Terrano XL 85 PS,2014,400000,70000,1,1,0,2,20.45,1461.0,83.8
116,Hyundai Creta 1.6 CRDi SX,2016,1140000,50000,1,1,0,0,19.67,1582.0,126.2
117,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,850000,76139,1,1,0,0,23.0,1498.0,98.96
118,Maruti Swift Dzire VDi,2012,370000,175000,1,1,0,3,19.3,1248.0,73.9
119,Renault KWID 1.0,2018,350000,25000,0,1,0,0,23.01,999.0,67.0
120,Maruti Celerio VXI,2015,360000,40000,0,1,0,1,23.1,998.0,67.04
121,Maruti Alto LXi,2008,105000,65000,0,1,0,3,19.7,796.0,46.3
122,Maruti Ertiga VDI,2013,625000,90000,1,1,0,1,20.77,1248.0,88.76
123,Hyundai Santro Xing GLS,2009,135000,80000,0,1,0,1,17.92,1086.0,62.1
124,Maruti Ertiga VDI,2015,700000,110000,1,1,0,1,20.77,1248.0,88.76
125,Honda Amaze S i-VTEC,2019,690000,1303,0,0,0,0,17.8,1198.0,86.7
126,Audi Q5 35TDI Premium Plus,2018,3975000,31800,1,0,1,0,17.01,1968.0,188.0
127,Lexus ES 300h,2019,5150000,20000,0,0,1,0,22.37,2487.0,214.56
128,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,1,0,1,0,19.33,1999.0,177.0
129,Jeep Wrangler 2016-2019 3.6 4X4,2017,4100000,17000,0,1,1,0,9.5,3604.0,280.0
130,Land Rover Discovery Sport TD4 SE,2019,4500000,21000,1,0,1,0,12.83,1999.0,148.31
131,Mercedes-Benz S-Class S 350 CDI,2017,6000000,37000,1,0,1,0,13.5,2987.0,254.79
132,BMW 5 Series 520d Sport Line,2018,3790000,29500,1,0,1,0,22.48,1995.0,187.74
133,BMW X4 M Sport X xDrive20d,2019,5800000,7500,1,0,1,0,16.78,1995.0,190.0
134,Skoda Superb LK 1.8 TSI AT,2018,1864999,50000,0,0,1,0,14.67,1798.0,177.46
135,Mercedes-Benz E-Class E250 Edition E,2016,2700000,35000,1,0,1,0,15.0,2143.0,204.0
136,MG Hector Sharp AT BSIV,2019,1750000,19000,0,0,1,0,13.96,1451.0,141.0
137,Honda City i-VTEC CVT VX,2017,795000,41000,0,0,1,0,18.0,1497.0,117.6
138,Toyota Corolla Altis 1.8 G CVT,2013,625000,39000,0,0,1,0,14.28,1798.0,138.03
139,Volvo XC40 D4 R-Design,2018,3400000,22000,1,0,1,0,18.0,1969.0,190.0
140,Audi Q7 35 TDI Quattro Premium,2015,2650000,53000,1,0,1,0,12.07,2967.0,241.4
141,Maruti Ciaz ZDi,2015,535000,40000,1,0,0,0,26.21,1248.0,88.5
142,Mercedes-Benz S-Class S 350 CDI,2017,5850000,47000,1,0,1,0,13.5,2987.0,282.0
143,BMW 5 Series 523i,2010,975000,72200,0,0,1,1,10.8,2497.0,150.0
144,Hyundai Elantra S,2016,805000,49900,0,0,0,0,16.3,1797.0,147.5
145,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,1,0,1,0,13.6,1999.0,177.0
146,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,811000,11000,0,0,0,0,17.0,1198.0,108.5
147,Volkswagen Vento Petrol Highline,2011,375000,49000,0,1,0,0,15.04,1598.0,103.6
148,Hyundai Elantra SX,2012,550000,95000,0,1,0,0,16.3,1797.0,147.5
149,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,0,0,1,0,14.3,1598.0,103.5
150,Mercedes-Benz CLA 200 CGI Sport,2018,2550000,18000,0,0,1,0,15.04,1991.0,183.0
151,Maruti Ertiga ZXI,2014,599000,46100,0,0,0,0,16.02,1373.0,93.7
152,Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,2700000,16000,0,0,1,0,14.74,1991.0,181.04
153,Honda City V AT,2017,875000,18000,0,0,1,0,15.6,1497.0,116.3
154,Toyota Glanza V CVT,2019,894999,9654,0,0,1,0,19.56,1197.0,81.8
155,Maruti Alto K10 VXI,2011,175000,11000,0,0,0,0,23.95,998.0,67.05
156,Maruti Swift VXI,2012,340000,24300,0,0,0,0,21.21,1197.0,81.8
157,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,1525000,42163,1,0,1,1,11.36,2755.0,171.5
158,Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,1025000,8000,1,0,1,0,21.5,1497.0,108.5
159,BMW 3 Series 320d Luxury Line,2016,2150000,30000,1,0,1,0,22.69,1995.0,190.0
160,Toyota Camry 2.5 Hybrid,2016,1900000,41000,0,0,1,0,19.16,2494.0,157.7
161,BMW 5 Series 520d Luxury Line,2016,2900000,12000,1,0,1,0,18.12,1995.0,190.0
162,Toyota Camry W4 (AT),2009,450000,71000,0,0,1,0,12.1,2362.0,164.7
163,Maruti Ertiga BSIV ZXI Plus,2016,850000,20000,0,1,0,0,17.5,1373.0,91.1
164,Volvo XC90 T8 Excellence BSIV,2017,10000000,30000,0,1,1,0,42.0,1969.0,400.0
165,Volkswagen Vento Diesel Highline,2011,300000,100000,1,1,0,1,20.54,1598.0,103.6
166,Ford Figo Aspire 1.2 Ti-VCT Trend,2018,575000,9500,0,1,0,0,18.16,1196.0,86.8
167,Ford Figo Diesel LXI,2011,160000,120000,1,1,0,0,20.0,1399.0,68.0
168,Maruti Swift VXI Optional,2015,515000,36600,0,1,0,0,20.4,1197.0,81.8
169,Maruti Wagon R AMT VXI,2015,390000,50000,0,1,1,1,20.51,998.0,67.0
170,Hyundai i20 Magna 1.2,2016,550000,14000,0,1,0,1,18.6,1197.0,81.83
171,Maruti 800 Std,1999,40000,40000,0,1,0,1,16.1,796.0,37.0
172,Maruti Ritz VDi,2010,220000,120000,1,1,0,0,21.1,1248.0,73.9
173,Hyundai Grand i10 Magna,2015,425000,70000,0,1,0,0,18.9,1197.0,82.0
174,Volkswagen Ameo 1.0 MPI Trendline,2019,480000,13000,0,1,0,0,19.44,999.0,75.0
175,Hyundai Grand i10 Sportz,2014,400000,60000,0,1,0,1,18.9,1197.0,82.0
176,Maruti Swift Dzire VXI,2014,487000,35000,0,1,0,0,19.1,1197.0,85.8
177,Hyundai Xcent 1.2 Kappa S,2016,386000,44000,0,1,0,1,19.1,1197.0,82.0
178,Honda City 1.5 EXI,2005,100000,120000,0,1,0,1,13.0,1493.0,100.0
179,Toyota Corolla Altis Diesel D4DG,2010,300000,60000,1,1,0,0,21.43,1364.0,87.2
180,Daewoo Matiz SD,2000,100000,60000,0,1,0,0,18.5,796.0,53.0
181,Toyota Fortuner 4x2 Manual,2014,1750000,30000,1,1,0,1,13.0,2982.0,168.5
182,Mahindra KUV 100 mFALCON G80 K8,2016,450000,15000,0,1,0,1,18.15,1198.0,82.0
183,Tata Zest Quadrajet 1.3 75PS XM,2017,490000,90000,1,1,0,0,22.95,1248.0,74.0
184,Honda City 1.5 S MT,2009,345000,47000,0,1,0,1,17.0,1497.0,118.0
185,Maruti Zen LXI,2005,85000,90000,0,1,0,0,17.3,993.0,60.0
186,Maruti Wagon R VXI BS IV with ABS,2010,215000,120600,0,1,0,1,18.9,998.0,67.1
187,Hyundai Verna Transform SX VTVT,2010,320000,100000,0,1,0,2,16.2,1599.0,103.2
188,Maruti Swift Dzire VXI,2016,459999,60000,0,1,0,1,20.85,1197.0,83.14
189,Hyundai Getz GLS,2005,65000,86000,0,1,0,0,15.3,1341.0,83.0
190,Hyundai Elite i20 Sportz Plus BSIV,2020,720000,5000,0,1,0,0,18.6,1197.0,81.86
191,Maruti Ciaz 1.3 Alpha,2017,800000,37000,1,1,0,0,28.09,1248.0,88.5
192,Tata Tigor 1.2 Revotron XZ,2019,520000,14000,0,1,0,0,20.3,1199.0,84.0
193,Maruti Ertiga VDI,2015,580000,70000,1,1,0,0,20.77,1248.0,88.76
194,Honda City i VTEC S,2015,600000,50000,0,1,0,0,17.4,1497.0,117.3
195,Honda Brio S MT,2014,290000,60000,0,1,0,1,19.4,1198.0,86.8
196,Maruti Wagon R LXI CNG,2016,360000,50000,2,1,0,0,26.6,998.0,58.16
197,Maruti Swift Dzire VXI,2017,550000,50000,0,1,0,0,20.85,1197.0,83.14
198,Hyundai i20 Sportz 1.2,2013,375000,70000,0,1,0,0,18.5,1197.0,82.85
199,Maruti Wagon R AMT VXI,2018,420000,35000,0,1,1,0,20.51,998.0,67.0
200,Maruti Swift Dzire VXI 1.2,2017,550000,20000,0,1,0,0,21.21,1197.0,81.8
201,Maruti Alto 800 LXI,2018,270000,20000,0,1,0,0,24.7,796.0,47.3
202,Maruti Swift Dzire AMT VXI BS IV,2018,700000,7800,0,1,1,0,22.0,1197.0,81.8
203,Maruti Swift VXI Optional,2017,500000,20000,0,1,0,0,20.4,1197.0,81.8
204,Tata Hexa XE,2019,1250000,15000,1,1,0,0,17.6,2179.0,147.94
205,Hyundai i20 Magna,2013,320000,31377,0,1,0,1,18.5,1197.0,82.85
206,Maruti Swift Dzire VDI,2018,700000,50000,1,1,0,0,28.4,1248.0,74.02
207,Maruti Wagon R VXI BS IV,2015,290000,60000,0,1,0,0,20.51,998.0,67.04
208,Toyota Corolla Altis 1.8 VL AT,2012,550000,100000,0,1,1,0,14.53,1794.0,138.1
209,Honda Brio S MT,2012,265000,60000,0,1,0,0,19.4,1198.0,86.8
210,Maruti Baleno Alpha Automatic,2018,830000,5000,0,1,1,0,21.4,1197.0,83.1
211,Tata Safari Storme EX,2017,800000,60000,1,1,0,0,14.1,2179.0,147.94
212,Maruti Alto LXi,2011,160000,25000,0,1,0,1,19.7,796.0,46.3
213,Renault KWID RXT,2018,335000,30000,0,1,0,0,25.17,799.0,53.3
214,Datsun GO T BSIV,2017,329000,80000,0,1,0,1,20.63,1198.0,67.0
215,Maruti Vitara Brezza VDi Option,2017,775000,75000,1,1,0,0,24.3,1248.0,88.5
216,Hyundai Xcent 1.2 VTVT SX,2020,524000,32000,0,1,0,0,20.14,1197.0,81.86
217,Maruti Alto 800 LXI,2015,245000,40000,0,1,0,0,22.74,796.0,47.3
218,Hyundai i20 1.2 Sportz,2012,275000,93000,0,1,0,1,17.0,1197.0,80.0
219,Tata Zest Revotron 1.2 XT,2018,520000,60000,0,1,0,0,17.57,1193.0,88.7
220,Nissan Sunny XL,2014,550000,37000,0,1,0,0,16.95,1498.0,97.7
221,Ford EcoSport 1.5 Petrol Titanium Plus BSIV,2018,910000,15000,0,1,0,0,17.0,1497.0,121.36
222,Nissan Micra Active XV S,2015,300000,80000,0,1,0,0,19.49,1198.0,67.04
223,Maruti Wagon R LXI Optional,2016,350000,140000,0,1,0,0,20.51,998.0,67.04
224,Mahindra Ssangyong Rexton RX5,2013,900000,70000,1,1,0,0,12.83,2696.0,162.0
225,Mahindra Quanto C8,2013,300000,120000,1,1,0,1,17.21,1493.0,100.0
226,Maruti Ritz LDi,2010,250000,110000,1,1,0,1,21.1,1248.0,73.9
227,Hyundai Creta 1.6 CRDi SX Plus Dual Tone,2017,1100000,37000,1,1,0,0,19.67,1582.0,126.2
228,Renault KWID RXT,2016,270000,44000,0,1,0,0,25.17,799.0,53.3
229,Maruti Ertiga VDI,2015,640000,80000,1,1,0,0,20.77,1248.0,88.76
230,Mahindra XUV500 W4,2015,650000,125000,1,1,0,0,15.1,2179.0,140.0
231,Maruti Eeco 5 Seater AC BSIV,2017,409999,13500,0,1,0,0,15.37,1196.0,73.0
232,Hyundai Santro Xing GLS,2011,165000,75000,0,1,0,0,17.92,1086.0,62.1
233,Hyundai Accent GLE,2007,80000,120000,0,1,0,1,13.2,1495.0,94.0
234,Mahindra XUV500 W8 2WD,2012,535000,120000,1,1,0,0,15.1,2179.0,140.0
235,Toyota Innova 2.5 EV (Diesel) PS 7 Seater BS IV,2013,700000,70000,1,1,0,0,12.99,2494.0,100.57
236,Maruti Swift Dzire VDI,2013,550000,70000,1,1,0,0,23.4,1248.0,74.0
237,Honda Amaze S CVT Petrol BSIV,2019,680000,15000,0,1,1,0,19.0,1199.0,88.76
238,Hyundai i10 Sportz 1.2,2009,200000,53000,0,1,0,1,20.36,1197.0,78.9
239,Maruti Swift Dzire VDI,2014,500000,120000,1,1,0,1,23.4,1248.0,74.0
240,Maruti Ertiga SHVS ZDI Plus,2016,1000000,70000,1,1,0,0,24.52,1248.0,88.5
241,Hyundai Getz 1.3 GVS,2008,110000,120000,0,1,0,1,14.2,1341.0,82.9
242,Hyundai i20 1.2 Magna,2012,320000,100000,0,1,0,1,18.5,1197.0,80.0
243,Maruti Swift LXI Optional-O,2015,350000,100000,0,1,0,0,20.4,1197.0,83.11
244,Tata Indica Vista TDI LS,2013,170000,162500,1,1,0,0,19.4,1405.0,70.0
245,Hyundai i20 2015-2017 Asta 1.4 CRDi,2017,800000,39000,1,1,0,0,22.54,1396.0,88.73
246,Maruti Ignis 1.3 Alpha,2017,500000,75000,1,1,0,0,26.8,1248.0,74.0
247,Tata Hexa XTA,2017,1380000,50000,1,1,1,0,17.6,2179.0,153.86
248,Mahindra Marazzo M6 8Str,2019,1300000,40000,1,1,0,0,17.3,1497.0,121.0
249,Hyundai Verna 1.6 CRDI,2013,530000,92500,1,1,0,0,22.32,1582.0,126.3
250,Maruti Swift Dzire VDI,2012,360000,158000,1,1,0,0,23.4,1248.0,74.0
251,Maruti Swift Dzire LDi,2012,310000,120000,1,1,0,0,19.3,1248.0,73.9
252,Honda City i DTEC V,2015,725000,50000,1,1,0,1,26.0,1498.0,98.6
253,Maruti Swift Dzire ZDi,2012,340000,110000,1,1,0,0,19.3,1248.0,73.9
254,Hyundai Xcent 1.2 CRDi E,2017,550000,2000,1,1,0,1,25.4,1186.0,73.97
255,Toyota Fortuner 3.0 Diesel,2011,1150000,181000,1,1,0,1,11.5,2982.0,171.0
256,Tata Tiago 1.05 Revotorq XZ,2016,380000,70000,1,1,0,0,27.28,1047.0,69.0
257,Nissan Sunny XL AT Special Edition,2013,350000,90000,0,1,1,1,17.97,1498.0,99.6
258,Hyundai Elite i20 Magna Plus BSIV,2019,610000,2000,0,1,0,0,18.6,1197.0,81.86
259,Maruti Swift Dzire VXI,2015,525000,20000,0,1,0,0,20.85,1197.0,83.14
260,Toyota Innova 2.5 GX 7 STR,2011,480000,120000,1,1,0,0,12.8,2494.0,102.0
261,Mahindra Thar CRDe,2017,780000,35000,1,1,0,0,16.55,2498.0,105.0
262,Maruti Swift Dzire ZDi,2012,320000,193000,1,1,0,0,19.3,1248.0,73.9
263,Maruti Swift 1.2 DLX (Only Delhi),2014,375000,80000,0,1,0,0,20.4,1197.0,81.8
264,Datsun GO D Petrol,2019,300000,40000,0,1,0,0,19.02,1198.0,67.05
265,Hyundai i20 Asta 1.4 CRDi,2015,500000,70000,1,1,0,3,22.54,1396.0,88.73
266,Mahindra Scorpio LX,2011,404000,122358,1,1,0,0,12.05,2179.0,120.0
267,Tata Sumo Gold EX BSIII,2015,500000,75000,1,1,0,0,14.07,2956.0,69.01
268,Tata Tiago Wizz 1.05 Revotorq,2017,350000,120000,1,1,0,0,27.28,1047.0,69.0
269,Tata Zest Revotron 1.2 XT,2015,380000,40000,0,1,0,0,17.57,1193.0,88.7
270,Hyundai Accent GLE,2008,114999,95200,0,1,0,2,13.2,1495.0,94.0
271,Honda Brio Exclusive Edition,2014,335000,33033,0,0,0,0,19.4,1198.0,86.8
272,Hyundai Grand i10 AT Asta,2015,465000,63063,0,0,1,0,18.9,1197.0,82.0
273,Tata Manza Club Class Quadrajet90 LX,2012,290000,60000,1,1,0,0,21.02,1248.0,88.76
274,Maruti Alto LX,2005,110000,45000,0,1,0,1,19.7,796.0,46.3
275,Tata New Safari DICOR 2.2 EX 4x2,2011,450000,80000,1,1,0,2,11.57,2179.0,138.1
276,Mahindra Bolero SLE,2009,400000,170000,1,1,0,1,13.6,2523.0,63.0
277,Mahindra Bolero DI DX 7 Seater,2007,210000,207890,1,1,0,1,13.6,2523.0,63.0
278,Mercedes-Benz GL-Class 220d 4MATIC Sport,2018,4600000,7976,1,1,1,0,17.9,2143.0,170.0
279,Maruti Omni E MPI STD BS IV,2016,220000,35000,0,1,0,0,16.8,796.0,34.2
280,Hyundai Grand i10 Sportz,2017,450000,35000,0,1,0,0,18.9,1197.0,82.0
